	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
57	hCoV-19/Malaysia/IMR_WC14227/2020	EPI_ISL_490048	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J, Mohd-Zawawi Z, Kamel K, Kalyanasundram J, Thayan R
58	hCoV-19/Kazakhstan/KZ_Almaty/2020	EPI_ISL_2604957	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Burashev,Y.D., Orynbayev,M.B., Sultankulova,K.T., Kutumbetov,L.B.,Zakarya,K.D., Kozhabergenov,N.S. and Kerimbayev,A.A.
59	hCoV-19/Pakistan/KHI1/2020	EPI_ISL_451958	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel,M., Raza,S.A., Khan,S., Khan,B.A., Zahid,M., Qureshi,M.A.and Khan,I.A
60	hCoV-19/Indonesia/SA-EIJK-12/2020	EPI_ISL_568694	RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri, Edison Johar, Hidayat Trimarsanto, Iskandar A Adnan, Willy Agustine, David H Muljono, Safarina G Malik, Herawati Sudoyo, Khin Saw Myint, Amin Soebandrio
61	hCoV-19/SouthAfrica/R02827/2020	EPI_ISL_430297	National Institute for Communicable Diseases of the National Health Laboratory Service	National Institute for Communicable Diseases of the National Health Laboratory Service	Allam M, Kwenda S, van Heusden P, Khumalo Z, Mohale T, Subramoney K, von Gottberg, A, Ismail A, Bhiman JN
62	hCoV-19/Qatar/QA-QU_12-11-G10/2020	EPI_ISL_1713276	Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane, Heba A. Al-Khatib, Oal Al-Jamal, Dana Al-Batesh, Hadi M. Yassine, Asmaa A. Al-Thani. MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout. QBB: Tasneem Al-Hamad, Dina Elgakhlab QGP: Fatima H. Al-Kuwari, Chadi Saad
63	hCoV-19/Turkey/Ankara_GUMV_22790/2020	EPI_ISL_730571	Gazi University Faculty of Medicine, Medical Virology Laboratory	Gazi University Faculty of Medicine, Medical Virology Laboratory	Erdem Şahin, Gülendam Bozdayı, Hager Muftah, Selin Yiğit, Shaknoza Sarzhanova, Özlem Güzel Tunçcan, Murat Dizbay, Işıl Fidan, Kayhan Çağlar
64	hCoV-19/Colombia/QUI-INS-85082/2020	EPI_ISL_497744	Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato, Diego A. Álvarez-Díaz, Carlos Franco-Muñoz, Jonathan Reales, Diego Andrés Prada, Jose A. Usme-Ciro, Nicolas D. Franco-Sierra, Zulma M. Cucunubá, Christian Julian Villabona‐Arenas, Liz Villabona-Arenas, Sussy Echeverria, Astrid C. Flórez, Carolina Ferro, Diana Marcela Walteros-Acero, Franklin Prieto, Carlos Andrés Durán, Martha Lucia Ospina Martinez, Marcela Mercado-Reyes
65	hCoV-19/France/IDF-0515/2020	EPI_ISL_408430	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure
66	hCoV-19/Hangzhou/HZCDC0013/2020	EPI_ISL_421235	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
67	hCoV-19/HongKong/HKU-908a/2020	EPI_ISL_434569		Microbiology, The University of Hong Kong	To,K.K.W. and Yuen,K.-Y.
68	hCoV-19/Japan/DP0058/2020	EPI_ISL_416568	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda
69	hCoV-19/Australia/WA34/2020	EPI_ISL_470851	PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe, Jurissa Lang, Avram Levy, David Smith and David Speers
70	hCoV-19/Australia/NT01/2020	EPI_ISL_419831	Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann, E., Seemann T., Sait, M., Schultz M., Caly L., Druce J.
71	hCoV-19/Australia/SA0097/2020	EPI_ISL_468039	SA Pathology	SA Pathology	Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian, Geoff Higgins
72	hCoV-19/Pakistan/Gilgit1/2020	EPI_ISL_417444	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Javed,A., Niazi,S.K., Ghani,E., Saqib,M., Janjua,H.A., Corman,V.M. and Zohaib,A.
73	hCoV-19/Iraq/BAS-2/2020	EPI_ISL_907075	Department of Biology, University of Basrah	Department of Biology, University of Basrah	Abu-Ali,H.M. and Al-Badran,I.F.
74	hCoV-19/Taiwan/TSGH-26/2020	EPI_ISL_447252	TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng, Ming-Jr JIAN, Chih-Kai Chang, Jung-Chung Lin, Kuo-Ming Yeh, Chien-Wen Chen, Sheng-Kang Chiu, Hsing-Yi Chung, Shih-Hung Tsai, Kuo-Sheng Hung, Tien-Yao Chang, Feng-Yee Chang, Hung-Sheng Shang
75	hCoV-19/Canada/Qc-LSPQ-L00210314/2020	EPI_ISL_535716	Hôpital de Verdun	Laboratoire de santé publique du Québec	Sandrine Moreira, Ioannis Ragoussis, Guillaume Bourque, Jesse Shapiro, Mark Lathrop and Michel Roger on behalf of the CoVSeQ research group
76	hCoV-19/Canada/MB-NML-1058/2020	EPI_ISL_1257902	MB-Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Natalie Knox, Morag Graham, Gary Van Domselaar, Paul Van Caeseele, Jared Bullard, David Alexander, Kerry Dust, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Kirsten Biggar, CanCOGeN's metadata curation team, Public Health Agency of Canada CanCOGeN team
77	hCoV-19/Turkey/IST-GLAB-158/2020	EPI_ISL_480256	Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	Genomic Laboratory (GLAB), Istanbul Technical University	Ilker Karacan, Tugba Kizilboga Akgun, Bugra Agaoglu, Gizem Alkurt, Jale Yildiz, Betsi Köse, Elifnaz Çelik, Arzu Irvem, Yasemin Kendir Demirkol, Ozlem Akgun Dogan, Mehtap Aydın, Levent Doganay, Gizem Dinler Doganay
78	hCoV-19/SriLanka/CDR142/2020	EPI_ISL_525474	Centre for Dengue Research	Centre for Dengue Research, USJ, SL	Chandima Jeewandara, Deshni Jayathilaka, Dinuka Ariyaratne, Laksiri Gomes, Diyanath Ranasinghe, Dinuka Guruge, Ruwan Wijayamuni, Gathsaurie Neelika Malavige
79	hCoV-19/Canada/BC_13297/2020	EPI_ISL_415578	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan, Prystajecky, Krajden, Lee, Kamelian, Lapointe, Choi, Hoang, Sekirov, Levett, Tyson, Snutch, Loman, Quick, Li, Gilmour
80	hCoV-19/Canada/BC_17397/2020	EPI_ISL_415580	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan, Prystajecky, Krajden, Lee, Kamelian, Lapointe, Choi, Hoang, Sekirov, Levett, Tyson, Snutch, Loman, Quick, Li, Gilmour
81	hCoV-19/Bahrain/BAH-19/2020	EPI_ISL_483560	Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink, David Nieuwenhuijse, Reina Sikkema, Fatema, Ebrahim Shehad, Amjad Ghanem Mohamed, Hashmeya Al Wasti, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Theo Bestebroer, Stefan van Nieuwkoop, Mark Pronk, Pascal Lexmond, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
82	hCoV-19/Georgia/Tb-7851/2020	EPI_ISL_477169	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Tata Imnadze, Giorgi Tomashvili, Meri Pantsulaia, Gvantsa Brachveli, Gvantsa Chanturia, Ann Machablishvili, Nato Kotaria, Marine Murtskhvaladze, Lela Sabadze, Mari Gavashelidze, Ana Papkiauri, Tamar Jashiashvili, Tea Tevdoradze, Ketevan Sidamonidze, Ekaterine Khmaladze, Ekaterine Zhghenti, Roena Sukhiashvili, Mariam Zakalashvili, Lela Urushadze, Magda Dgebuadze, Davit Tsaguria, Ekaterine Zangaladze, Nino Berishvili, Adam Kotorashvili, Maia Alkhazashvili, Irma Burjanadze, Anna Kasradze, Khatuna Zakhashvili, Paata Imnadze, Amiran Gamkrelidze.
83	hCoV-19/Iran/GRC-20/2020	EPI_ISL_2693672	Department of Virology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi, Marzieh Mohseni, Khadijeh Jalalvand, Azam Ghaziasadi, Seyedeh elham Mortazavi, Ali Jafarpour, Azarakhsh Azaran, Farid Yousefi, Gholam Abbas Kaydani, Kimia Kahrizi, Seyed Mohammad Jazayeri, Hossein Najmabadi.
84	hCoV-19/NewZealand/20VR0174/2020	EPI_ISL_413490	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Gary McAuliffe, Sally Roberts, Matthew Blakiston, Erasmus Smit, Lauren Jelly, Joep de Ligt
85	hCoV-19/Oman/RESP-20-837/2020	EPI_ISL_457704	Oman-NIC	Oman-NIC	Samira Al-Maruqi, Fahad Zadjali, Amina Al Jardani, Khulood Al-Mammary, Hanan Al-kindi, Fatma BaAlawi, Hamida AL Barwani, Zeyana AL-Dahmani, Intisar Al-Shukri, Aisha Al-Busaidi, Aisha Al-Amri, Ahlam Al-Amri, Mohammed Al-Tobi, Samiha Al Kharusi, Abdulla Balkhair
86	hCoV-19/Lebanon/S5_762/2020	EPI_ISL_450512	Rafik Hariri University Hospital	Rafik Hariri University Hospital	Rita Feghali
87	hCoV-19/Kuwait/KU09/2020	EPI_ISL_416541	Dasman Diabetes Institute and Virology Laboratory Ministry of Health	Dasman Diabetes Institute	Fahd Al-Mulla, Sumi John, Rasheeba Iqbal, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi
88	hCoV-19/DRC/299/2020	EPI_ISL_420840	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum
89	hCoV-19/Oman/RESP-20-1857/2020	EPI_ISL_457937	Oman-NIC	Oman-NIC	Samira Al-Maruqi, Fahad Zadjali, Amina Al Jardani, Khulood Al-Mammary, Hanan Al-kindi, Fatma BaAlawi, Hamida AL Barwani, Zeyana AL-Dahmani, Intisar Al-Shukri, Aisha Al-Busaidi, Aisha Al-Amri, Ahlam Al-Amri, Mohammed Al-Tobi, Samiha Al Kharusi, Abdulla Balkhair
90	hCoV-19/Lebanon/S9_764/2020	EPI_ISL_450515	Rafik Hariri University Hospital	Rafik Hariri University Hospital	Rita Feghali
91	hCoV-19/Bahrain/BAH-06/2020	EPI_ISL_483547	Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink, David Nieuwenhuijse, Reina Sikkema, Fatema, Ebrahim Shehad, Amjad Ghanem Mohamed, Hashmeya Al Wasti, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Theo Bestebroer, Stefan van Nieuwkoop, Mark Pronk, Pascal Lexmond, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
92	hCoV-19/Indonesia/SB_9/2020	EPI_ISL_1447336	Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Andani Eka Putra, Syafrizayanti, Ikhwan R. Sudji, Linosefa, Dede Rahman Agustian, Ayu Novita Trisnawati, Siskalil Fahma, Nia Ayuni Putri, Sekar Asri Tresnaningtyas, SM Rezvi, Fauzul Azhim, Dessy Arisanty, Gestina Aliska, Desmawati, Nita Afriani ,Syandrez Prima Putra, Juane Plantika Menra, Yolani Syaputri, Mutia Lailani
93	hCoV-19/SouthAfrica/KRISP-06/2020	EPI_ISL_421573	Molecular Diagnostic Services	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Ngcapu S, Samsunder N, Lessells R, Chimukangara B, Deforche K, Tegally H, Wilkinson E, de Oliveira T
94	hCoV-19/NewZealand/20CV0306/2020	EPI_ISL_622799	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt
95	hCoV-19/Philippines/PH-RITM-0062/2020	EPI_ISL_3105871	City Health Office - San Juan	Research Institute for Tropical Medicine	Lei Lanna Dancel, Inez Andrea Medado, Jefferson Earl Halog, Deana Mae Ocampo, Joana Ina Manalo, Samantha Louise Bado, Francisco Gerardo Polotan, Ma Angelica Tujan, Clyde Dapat, Emmanuel Kagning Tsinda, Michiko Okamoto, Mariko Saito-Obata, Mayuko Saito, Hitoshi Oshitani
96	hCoV-19/Philippines/PGC03/2020	EPI_ISL_434555	National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid, Francis A. Tablizo, Benedict A. Maralit, Jan Michael C. Yap, Raul V. Destura, Marissa M. Alejandria, El King D. Morado, Joshua Gregor A. Dizon, Jo-Hannah S. Llames, Shiela Mae M. Araiza, Kris P. Punayan, Kristianne Arielle D. Gabriel, Shebna Rose D. Fabilloren, Shana F. Genavia, Jarvin E. Nipales, Alessandra C. Sanchez, Haifa L.Gaza, Joy Ann Petronio-Santos, Julius Aaron Mejia, Maribell Dollete, Sonia Salamat, Christina Tan, Bernard Demot, John Mark Velasco, Eva Maria Cutiongco-de la Paz, and Cynthia P. Saloma
97	hCoV-19/SouthKorea/KDCA1349/2020	EPI_ISL_1063647	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park, Il-Hwan Kim, Heui Man Kim, Jeong-Min Kim, Namjoo Lee, Chaeyoung Lee, Sang Hee Woo, Eun-Jin Kim
98	hCoV-19/Philippines/PH-RITM-0065/2020	EPI_ISL_3105872	Taguig City Health Office	Research Institute for Tropical Medicine	Lei Lanna Dancel, Inez Andrea Medado, Jefferson Earl Halog, Deana Mae Ocampo, Joana Ina Manalo, Samantha Louise Bado, Francisco Gerardo Polotan, Ma Angelica Tujan, Clyde Dapat, Emmanuel Kagning Tsinda, Michiko Okamoto, Mariko Saito-Obata, Mayuko Saito, Hitoshi Oshitani
99	hCoV-19/Pakistan/KP-RMI-01/2020	EPI_ISL_632908	Genomic Sciences, Rehman Medical Institute	Genomic Sciences, Rehman Medical Institute	Ali,J., Afridi,U.K., Haider,S.A., Sabiha,B., Jan,H. and Jehanzeb,V.
100	hCoV-19/India/TG-CCMB-J107/2020	EPI_ISL_447849	CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Shagufta Khan, Lamuk Zaveri, Namami Gaur, Sakshi Shambhavi, Tulasi Nagabandi, Purushotham Vodnala, Payel Mukherjee, Sofia Banu, Priya Singh, Dhiviya Vedagiri, Divya Gupta, Vishal Sah, Santosh Kumar Kuncha, Krishnan Harinivas Harshan, Archana Bharadwaj Siva, Karthik Bharadwaj Tallapaka, Rakesh K Mishra, Divya Tej Sowpati
101	hCoV-19/Timor-Leste/TL23/2020	EPI_ISL_456611	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva, E., Dolores de Jesus da Costa, M., Salles de Sousa, A., Jayanti Pereira Tilman, A., Antonia da Costa, E., Barreto, I., Marr, I., Wapling, J., Francis, J., Ximenes, J., Canisia, D., Freeman, K., Dakh, F., Douglas, N., Baird, R., Caly, L., Seemann, T., Sait, M., Schultz, M., Sherry, N.
102	hCoV-19/Timor-Leste/TL14/2020	EPI_ISL_456601	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva, E., Dolores de Jesus da Costa, M., Salles de Sousa, A., Jayanti Pereira Tilman, A., Antonia da Costa, E., Barreto, I., Marr, I., Wapling, J., Francis, J., Ximenes, J., Canisia, D., Freeman, K., Dakh, F., Douglas, N., Baird, R., Caly, L., Seemann, T., Sait, M., Schultz, M., Sherry, N.
103	hCoV-19/Timor-Leste/TL19/2020	EPI_ISL_456610	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva, E., Dolores de Jesus da Costa, M., Salles de Sousa, A., Jayanti Pereira Tilman, A., Antonia da Costa, E., Barreto, I., Marr, I., Wapling, J., Francis, J., Ximenes, J., Canisia, D., Freeman, K., Dakh, F., Douglas, N., Baird, R., Caly, L., Seemann, T., Sait, M., Schultz, M., Sherry, N.
104	hCoV-19/India/AP-NCDC-02323/2020	EPI_ISL_435089	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	NCDC/CSIR-IGIB	Pramod Kumar, Rajesh Pandey, Pooja Sharma, Mahesh Dhar, Vivekanand A, Bharathram Uppili, Himanshu Vashisht, Saruchi Wadhwa, Nishu Tyagi, Uma Sharma, Priyanka Singh, Hemlata Lall, Meena Datta, Poonam Gupta, Nidhi Saini, Aarti Tewari, Bibhash Nandi, Dhirendra Kumar, Satyabrata Bag, Varun Jaiswal, Hema Gogia, Preeti Madan, Simrita Singh, Prateek Singh, Debasis Dash, Mitali Mukerji, Manju Bala, Sandhya Kabra, Sujeet Singh, Mohammed Faruq, Anurag Agrawal, Partha Rakshit
105	hCoV-19/Singapore/1364/2020	EPI_ISL_648715	Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC, Zair X, Lim JX, Li C, Tang WY, Maurer-Stroh S, Barkham TMS, Nagarajan N, Sessions OM
106	hCoV-19/Singapore/756/2020	EPI_ISL_500570	Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman, Kun Lee Lim, Chenhao Li, Kian Sing Chan, Lynette Oon, Kern Rei Chng, Niranjan Nagarajan, Karrie Ko
107	hCoV-19/Singapore/1064/2020	EPI_ISL_583899	Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman, Kun Lee Lim, Chenhao Li, Sui Sin Goh, Kenneth Xin Long Chan, Kian Sing Chan, Lynette Oon, Kern Rei Chng, Niranjan Nagarajan, Karrie Ko
108	hCoV-19/Singapore/808/2020	EPI_ISL_516808	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM, Octavia S, Zhou Z, Cui L, Lin RTP
109	hCoV-19/Singapore/1284/2020	EPI_ISL_648769	Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC, Zair X, Lim JX, Li C, Tang WY, Maurer-Stroh S, Barkham TMS, Nagarajan N, Sessions OM
110	hCoV-19/Singapore/701/2020	EPI_ISL_498599	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM, Octavia S, Zhou Z, Chavatte JM, Cui L, Lin RTP
111	hCoV-19/Singapore/846/2020	EPI_ISL_518010	Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman, Kun Lee Lim, Chenhao Li, Kian Sing Chan, Lynette Oon, Kern Rei Chng, Niranjan Nagarajan, Karrie Ko
112	hCoV-19/Brunei/2/2020	EPI_ISL_435674	National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn, Octavia Sophie, Chavatte Jean-Marc, Zaini Zainun, Taib Surita, Cui Lin, Lin Raymond Tzer Pin
113	hCoV-19/Brunei/3/2020	EPI_ISL_435675	National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn, Octavia Sophie, Chavatte Jean-Marc, Zaini Zainun, Taib Surita, Cui Lin, Lin Raymond Tzer Pin
114	hCoV-19/Brunei/5/2020	EPI_ISL_435677	National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn, Octavia Sophie, Chavatte Jean-Marc, Zaini Zainun, Taib Surita, Cui Lin, Lin Raymond Tzer Pin
